,dish_id,cross_id,genotype,date_fertilized,date_created,initial_count,check_date,fish_deaths,cumulative_deaths,remaining,survival_rate,days_since_fertilization,status,termination_date,termination_reason,responsible,in_beaker,vol_water_total,room,water_changed,vol_water_changed,date_fertilized_dt,date_created_dt,check_date_dt,termination_date_dt,mortality_rate,genotype_simple,fish_density,density_category,volume_per_fish
0,14781_1,14781,Casper_HHMI,20250122,20250212,22,20250129,0,0,22,100.0,7,inactive,20250204.0,euthanasia,Jeremy Delahanty,No,80,"('2E.282',)",Yes,60,2025-01-22,2025-02-12,2025-01-29,2025-02-04,0.0,Casper,0.275,High (2-4mL/fish),3.6363636363636362
1,14781_1,14781,Casper_HHMI,20250122,20250212,22,20250130,0,0,22,100.0,8,inactive,20250204.0,euthanasia,Jeremy Delahanty,No,80,"('2E.282',)",Yes,60,2025-01-22,2025-02-12,2025-01-30,2025-02-04,0.0,Casper,0.275,High (2-4mL/fish),3.6363636363636362
2,14781_1,14781,Casper_HHMI,20250122,20250212,22,20250131,1,1,21,95.45454545454544,9,inactive,20250204.0,euthanasia,Jeremy Delahanty,No,80,"('2E.282',)",Yes,60,2025-01-22,2025-02-12,2025-01-31,2025-02-04,4.545454545454546,Casper,0.275,High (2-4mL/fish),3.6363636363636362
3,14781_1,14781,Casper_HHMI,20250122,20250212,22,20250201,1,2,20,90.9090909090909,10,inactive,20250204.0,euthanasia,Jeremy Delahanty,No,80,"('2E.282',)",Yes,60,2025-01-22,2025-02-12,2025-02-01,2025-02-04,9.090909090909092,Casper,0.275,High (2-4mL/fish),3.6363636363636362
4,14781_1,14781,Casper_HHMI,20250122,20250212,22,20250202,3,5,17,77.27272727272727,11,inactive,20250204.0,euthanasia,Jeremy Delahanty,No,80,"('2E.282',)",Yes,60,2025-01-22,2025-02-12,2025-02-02,2025-02-04,22.727272727272727,Casper,0.275,High (2-4mL/fish),3.6363636363636362
5,14781_1,14781,Casper_HHMI,20250122,20250212,22,20250203,6,11,11,50.0,12,inactive,20250204.0,euthanasia,Jeremy Delahanty,No,80,"('2E.282',)",Yes,60,2025-01-22,2025-02-12,2025-02-03,2025-02-04,50.0,Casper,0.275,High (2-4mL/fish),3.6363636363636362
6,14781_2,14781,Casper_HHMI,20250122,20250212,90,20250130,0,0,90,100.0,8,inactive,20250205.0,euthanasia,Jeremy Delahanty,Yes,80,"('2E.282',)",Yes,60,2025-01-22,2025-02-12,2025-01-30,2025-02-05,0.0,Casper,1.125,Very High (<2mL/fish),0.8888888888888888
7,14781_2,14781,Casper_HHMI,20250122,20250212,90,20250131,5,5,85,94.44444444444444,9,inactive,20250205.0,euthanasia,Jeremy Delahanty,Yes,80,"('2E.282',)",Yes,60,2025-01-22,2025-02-12,2025-01-31,2025-02-05,5.555555555555555,Casper,1.125,Very High (<2mL/fish),0.8888888888888888
8,14781_2,14781,Casper_HHMI,20250122,20250212,90,20250201,0,5,85,94.44444444444444,10,inactive,20250205.0,euthanasia,Jeremy Delahanty,Yes,80,"('2E.282',)",Yes,60,2025-01-22,2025-02-12,2025-02-01,2025-02-05,5.555555555555555,Casper,1.125,Very High (<2mL/fish),0.8888888888888888
9,14781_2,14781,Casper_HHMI,20250122,20250212,90,20250202,31,36,54,60.0,11,inactive,20250205.0,euthanasia,Jeremy Delahanty,Yes,80,"('2E.282',)",Yes,60,2025-01-22,2025-02-12,2025-02-02,2025-02-05,40.0,Casper,1.125,Very High (<2mL/fish),0.8888888888888888
10,14781_2,14781,Casper_HHMI,20250122,20250212,90,20250203,36,72,18,20.0,12,inactive,20250205.0,euthanasia,Jeremy Delahanty,Yes,80,"('2E.282',)",Yes,60,2025-01-22,2025-02-12,2025-02-03,2025-02-05,80.0,Casper,1.125,Very High (<2mL/fish),0.8888888888888888
11,14781_2,14781,Casper_HHMI,20250122,20250212,90,20250204,8,80,10,11.11111111111111,13,inactive,20250205.0,euthanasia,Jeremy Delahanty,Yes,80,"('2E.282',)",Yes,60,2025-01-22,2025-02-12,2025-02-04,2025-02-05,88.88888888888889,Casper,1.125,Very High (<2mL/fish),0.8888888888888888
12,14781_3,14781,Casper_HHMI,20250122,20250218,80,20250130,0,0,80,100.0,8,inactive,20250205.0,euthanasia,Jeremy Delahanty,Yes,80,"('2E.282',)",Yes,60,2025-01-22,2025-02-18,2025-01-30,2025-02-05,0.0,Casper,1.0,Very High (<2mL/fish),1.0
13,14781_3,14781,Casper_HHMI,20250122,20250218,80,20250131,6,6,74,92.5,9,inactive,20250205.0,euthanasia,Jeremy Delahanty,Yes,80,"('2E.282',)",Yes,60,2025-01-22,2025-02-18,2025-01-31,2025-02-05,7.5,Casper,1.0,Very High (<2mL/fish),1.0
14,14781_3,14781,Casper_HHMI,20250122,20250218,80,20250201,14,20,60,75.0,10,inactive,20250205.0,euthanasia,Jeremy Delahanty,Yes,80,"('2E.282',)",Yes,60,2025-01-22,2025-02-18,2025-02-01,2025-02-05,25.0,Casper,1.0,Very High (<2mL/fish),1.0
15,14781_3,14781,Casper_HHMI,20250122,20250218,80,20250202,11,31,49,61.25000000000001,11,inactive,20250205.0,euthanasia,Jeremy Delahanty,Yes,80,"('2E.282',)",Yes,60,2025-01-22,2025-02-18,2025-02-02,2025-02-05,38.75,Casper,1.0,Very High (<2mL/fish),1.0
16,14781_3,14781,Casper_HHMI,20250122,20250218,80,20250203,21,52,28,35.0,12,inactive,20250205.0,euthanasia,Jeremy Delahanty,Yes,80,"('2E.282',)",Yes,60,2025-01-22,2025-02-18,2025-02-03,2025-02-05,65.0,Casper,1.0,Very High (<2mL/fish),1.0
17,14781_3,14781,Casper_HHMI,20250122,20250218,80,20250204,13,65,15,18.75,13,inactive,20250205.0,euthanasia,Jeremy Delahanty,Yes,80,"('2E.282',)",Yes,60,2025-01-22,2025-02-18,2025-02-04,2025-02-05,81.25,Casper,1.0,Very High (<2mL/fish),1.0
18,14781_3,14781,Casper_HHMI,20250122,20250218,80,20250205,3,68,12,15.0,14,inactive,20250205.0,euthanasia,Jeremy Delahanty,Yes,80,"('2E.282',)",Yes,60,2025-01-22,2025-02-18,2025-02-05,2025-02-05,85.0,Casper,1.0,Very High (<2mL/fish),1.0
19,14781_4,14781,Casper_HHMI,20250122,20250218,105,20250130,0,0,105,100.0,8,inactive,20250205.0,euthanasia,Jeremy Delahanty,Yes,80,"('2E.282',)",Yes,60,2025-01-22,2025-02-18,2025-01-30,2025-02-05,0.0,Casper,1.3125,Very High (<2mL/fish),0.7619047619047619
20,14781_4,14781,Casper_HHMI,20250122,20250218,105,20250131,10,10,95,90.47619047619048,9,inactive,20250205.0,euthanasia,Jeremy Delahanty,Yes,80,"('2E.282',)",Yes,60,2025-01-22,2025-02-18,2025-01-31,2025-02-05,9.523809523809524,Casper,1.3125,Very High (<2mL/fish),0.7619047619047619
21,14781_4,14781,Casper_HHMI,20250122,20250218,105,20250201,20,30,75,71.42857142857143,10,inactive,20250205.0,euthanasia,Jeremy Delahanty,Yes,80,"('2E.282',)",Yes,60,2025-01-22,2025-02-18,2025-02-01,2025-02-05,28.57142857142857,Casper,1.3125,Very High (<2mL/fish),0.7619047619047619
22,14781_4,14781,Casper_HHMI,20250122,20250218,105,20250202,12,42,63,60.0,11,inactive,20250205.0,euthanasia,Jeremy Delahanty,Yes,80,"('2E.282',)",Yes,60,2025-01-22,2025-02-18,2025-02-02,2025-02-05,40.0,Casper,1.3125,Very High (<2mL/fish),0.7619047619047619
23,14781_4,14781,Casper_HHMI,20250122,20250218,105,20250203,45,87,18,17.142857142857142,12,inactive,20250205.0,euthanasia,Jeremy Delahanty,Yes,80,"('2E.282',)",Yes,60,2025-01-22,2025-02-18,2025-02-03,2025-02-05,82.85714285714286,Casper,1.3125,Very High (<2mL/fish),0.7619047619047619
24,14781_4,14781,Casper_HHMI,20250122,20250218,105,20250204,3,90,15,14.285714285714285,13,inactive,20250205.0,euthanasia,Jeremy Delahanty,Yes,80,"('2E.282',)",Yes,60,2025-01-22,2025-02-18,2025-02-04,2025-02-05,85.71428571428571,Casper,1.3125,Very High (<2mL/fish),0.7619047619047619
25,14781_4,14781,Casper_HHMI,20250122,20250218,105,20250205,3,93,12,11.428571428571429,14,inactive,20250205.0,euthanasia,Jeremy Delahanty,Yes,80,"('2E.282',)",Yes,60,2025-01-22,2025-02-18,2025-02-05,2025-02-05,88.57142857142857,Casper,1.3125,Very High (<2mL/fish),0.7619047619047619
26,14781_5,14781,Casper_HHMI,20250122,20250218,160,20250130,0,0,160,100.0,8,inactive,20250205.0,euthanasia,Jeremy Delahanty,No,80,"('2E.282',)",Yes,60,2025-01-22,2025-02-18,2025-01-30,2025-02-05,0.0,Casper,2.0,Very High (<2mL/fish),0.5
27,14781_5,14781,Casper_HHMI,20250122,20250218,160,20250131,21,21,139,86.875,9,inactive,20250205.0,euthanasia,Jeremy Delahanty,No,80,"('2E.282',)",Yes,60,2025-01-22,2025-02-18,2025-01-31,2025-02-05,13.125,Casper,2.0,Very High (<2mL/fish),0.5
28,14781_5,14781,Casper_HHMI,20250122,20250218,160,20250201,30,51,109,68.125,10,inactive,20250205.0,euthanasia,Jeremy Delahanty,No,80,"('2E.282',)",Yes,60,2025-01-22,2025-02-18,2025-02-01,2025-02-05,31.874999999999996,Casper,2.0,Very High (<2mL/fish),0.5
29,14781_5,14781,Casper_HHMI,20250122,20250218,160,20250202,23,74,86,53.75,11,inactive,20250205.0,euthanasia,Jeremy Delahanty,No,80,"('2E.282',)",Yes,60,2025-01-22,2025-02-18,2025-02-02,2025-02-05,46.25,Casper,2.0,Very High (<2mL/fish),0.5
30,14781_5,14781,Casper_HHMI,20250122,20250218,160,20250203,22,96,64,40.0,12,inactive,20250205.0,euthanasia,Jeremy Delahanty,No,80,"('2E.282',)",Yes,60,2025-01-22,2025-02-18,2025-02-03,2025-02-05,60.0,Casper,2.0,Very High (<2mL/fish),0.5
31,14781_5,14781,Casper_HHMI,20250122,20250218,160,20250204,6,102,58,36.25,13,inactive,20250205.0,euthanasia,Jeremy Delahanty,No,80,"('2E.282',)",Yes,60,2025-01-22,2025-02-18,2025-02-04,2025-02-05,63.74999999999999,Casper,2.0,Very High (<2mL/fish),0.5
32,14783_10,14783,Casper_HHMI,20250121,20250218,21,20250128,0,0,21,100.0,7,inactive,20250204.0,euthanasia,Jeremy Delahanty,No,80,"('2E.282',)",Yes,60,2025-01-21,2025-02-18,2025-01-28,2025-02-04,0.0,Casper,0.2625,High (2-4mL/fish),3.8095238095238093
33,14783_10,14783,Casper_HHMI,20250121,20250218,21,20250129,0,0,21,100.0,8,inactive,20250204.0,euthanasia,Jeremy Delahanty,No,80,"('2E.282',)",Yes,60,2025-01-21,2025-02-18,2025-01-29,2025-02-04,0.0,Casper,0.2625,High (2-4mL/fish),3.8095238095238093
34,14783_10,14783,Casper_HHMI,20250121,20250218,21,20250130,0,0,21,100.0,9,inactive,20250204.0,euthanasia,Jeremy Delahanty,No,80,"('2E.282',)",Yes,60,2025-01-21,2025-02-18,2025-01-30,2025-02-04,0.0,Casper,0.2625,High (2-4mL/fish),3.8095238095238093
35,14783_10,14783,Casper_HHMI,20250121,20250218,21,20250131,1,1,20,95.23809523809524,10,inactive,20250204.0,euthanasia,Jeremy Delahanty,No,80,"('2E.282',)",Yes,60,2025-01-21,2025-02-18,2025-01-31,2025-02-04,4.761904761904762,Casper,0.2625,High (2-4mL/fish),3.8095238095238093
36,14783_10,14783,Casper_HHMI,20250121,20250218,21,20250201,0,1,20,95.23809523809524,11,inactive,20250204.0,euthanasia,Jeremy Delahanty,No,80,"('2E.282',)",Yes,60,2025-01-21,2025-02-18,2025-02-01,2025-02-04,4.761904761904762,Casper,0.2625,High (2-4mL/fish),3.8095238095238093
37,14783_10,14783,Casper_HHMI,20250121,20250218,21,20250202,2,3,18,85.71428571428571,12,inactive,20250204.0,euthanasia,Jeremy Delahanty,No,80,"('2E.282',)",Yes,60,2025-01-21,2025-02-18,2025-02-02,2025-02-04,14.285714285714285,Casper,0.2625,High (2-4mL/fish),3.8095238095238093
38,14783_10,14783,Casper_HHMI,20250121,20250218,21,20250203,5,8,13,61.90476190476191,13,inactive,20250204.0,euthanasia,Jeremy Delahanty,No,80,"('2E.282',)",Yes,60,2025-01-21,2025-02-18,2025-02-03,2025-02-04,38.095238095238095,Casper,0.2625,High (2-4mL/fish),3.8095238095238093
39,14783_10,14783,Casper_HHMI,20250121,20250218,21,20250204,1,9,12,57.14285714285714,14,inactive,20250204.0,euthanasia,Jeremy Delahanty,No,80,"('2E.282',)",Yes,60,2025-01-21,2025-02-18,2025-02-04,2025-02-04,42.857142857142854,Casper,0.2625,High (2-4mL/fish),3.8095238095238093
